epoch,train_loss,val_loss,lambda
1,0.01605495518643051,0.013725506960716753,0.8761884162664495
2,0.014471471573638544,0.0132614370813122,0.7742176192556578
3,0.013993562764195245,0.013008723793003905,0.6886306440484822
4,0.013628329884437197,0.012619595469263604,0.6159460967874502
5,0.013359138902897902,0.01258285608381228,0.553585232197526
6,0.012930108116547661,0.011814033607083002,0.4996013684971365
7,0.012761184804587482,0.011590032762530995,0.4525004419213529
8,0.012444699788004573,0.0114922511222051,0.41111867958475795
9,0.012325304630237954,0.011232627839231821,0.37453743575186615
10,0.012143658063385175,0.011174984683889576,0.342022771019614
11,0.012061528227060447,0.0110676330496687,0.31298183444605554
12,0.011923814091654166,0.011156018010930099,0.2869309112948494
13,0.011863356878859676,0.011029394498303544,0.2634716558032643
14,0.011765145442984536,0.01094089010933331,0.24227319619328486
15,0.01168659871210028,0.010835209208305926,0.22305850103517688
16,0.011601683902063049,0.010830512783025761,0.2055938775869174
17,0.011501273245256634,0.010783880107869591,0.1896808093504333
18,0.011455380332329066,0.010632051734997554,0.17514953744789166
19,0.01141842640055752,0.010693366645293967,0.16185399851757168
20,0.011315841874696881,0.010400516693883156,0.14966777067193723
21,0.011183331537621253,0.010361955831253353,0.13848082742154813
22,0.011043738947783157,0.010179492315681495,0.12819690735569292
23,0.010796881974509088,0.009975912151171782,0.11873137475432585
24,0.010653251990326658,0.009998579762637634,0.1100094716697131
25,0.010581224373016338,0.009874488411427323,0.10196487405378044
26,0.010444784936303858,0.009762117272275717,0.0945385017172391
27,0.010416141303748344,0.00976839208141174,0.08767752316962779
28,0.010335065688404924,0.009645188262876213,0.08133452514066276
29,0.010284865809271645,0.009564253363338392,0.07546681920393178
30,0.010230346892851676,0.009447265406719908,0.07003585337676128
31,0.010160071346945842,0.00973618166679449,0.06500670973471462
32,0.010158595877181468,0.009689283291154096,0.06034768152778326
33,0.010109036987244103,0.009385163537034861,0.05602991134250497
34,0.010035008592792318,0.009604233001107767,0.05202707568977076
35,0.009975632024849239,0.009574274617156322,0.04831511554570236
36,0.009914465301336158,0.009558849844483455,0.0448720041173087
37,0.009821922522839394,0.009259382061416379,0.04167753960237818
38,0.009779075692032494,0.009065489042117127,0.03871316891556022
39,0.009666990036273937,0.009059487909951893,0.03596183181492653
40,0.009637297565462674,0.008741244772984288,0.03340781812583341
41,0.009512748295481524,0.008821116034555515,0.03103665041850958
42,0.00943792389202604,0.008768654985925845,0.02883497046070525
43,0.009388246442588772,0.008654802326833017,0.026790446870971197
44,0.009411301423320107,0.008750450504457044,0.024891681577961386
45,0.009318259159429647,0.008337322006201926,0.023128138888964162
46,0.009306619373040764,0.00825428895627982,0.021490070594003905
47,0.009263818335466795,0.008505990546736586,0.01996845186385723
48,0.009208260620777849,0.008539223413538863,0.018554924378914175
49,0.009045990725207256,0.008056688246128258,0.01724174682235324
50,0.008905192820972322,0.007568305958236088,0.016021742699740018
51,0.008698924878406147,0.007075689406283273,0.014888259516083264
52,0.00833764756632211,0.0066880302401519905,0.013835126170433273
53,0.008050756475284944,0.006137206404127488,0.012856618967574169
54,0.007785073724920421,0.006322220127933178,0.011947424721886599
55,0.007544480009822558,0.005824825269225237,0.011102615842594107
56,0.007233590127096766,0.005206438350458567,0.010317617785001376
57,0.006983992263098765,0.005122465199063822,0.009588182064957746
58,0.0067574978224090405,0.004261739378864855,0.008910366157020361
59,0.006461653342296568,0.004569188827520946,0.008280507856865228
60,0.00636494557460545,0.004499530127833571,0.007695208005178313
61,0.0062241276666896,0.004526495088959905,0.007151308129347445
62,0.00611746772605011,0.004232688596473714,0.006645874809475301
63,0.006032350472388066,0.004483216833038552,0.006176184061128783
64,0.005993304115216963,0.004334134324987781,0.005739705697047127
65,0.005833400476309094,0.0038620070592342804,0.005334088176111807
66,0.0058192909495493215,0.004298583532437877,0.0049571487949030615
67,0.005746242401154245,0.0047067001265580334,0.004606857356946594
68,0.0056493271294101016,0.0037898222503046333,0.004281329098402256
69,0.005601339406649654,0.003775933214901278,0.003978812393487738
70,0.005517797932710036,0.003947672178667086,0.0036976798604705765
71,0.005406946073908741,0.00405358453717492,0.0034364192418955145
72,0.005397709963241424,0.003964436279285375,0.003193624984908129
73,0.005423796488755197,0.0033827875965368966,0.0029679915182707958
74,0.005363193993975675,0.003445153592596593,0.0027583055842680913
75,0.005210991226695564,0.004272989324395868,0.0025634396340629573
76,0.005177936204351084,0.004193429039537689,0.0023823462299474027
77,0.005147758871600585,0.003897384635707941,0.002214051299234357
78,0.005091855258708927,0.003744982218277119,0.0020576505174593287
79,0.005057996479055277,0.004558304174448895,0.001912302829385513
80,0.005000798735997518,0.003831903668294461,0.0017772270764459662
81,0.00494562028804536,0.004868531808779644,0.001651697174510789
82,0.005012474764991794,0.00416928002454277,0.001535038406358964
83,0.004856110152712391,0.004160989575587626,0.0014266238731170872
